,sentence
179,"Ang|DTC ganda|NNC ng|CCB iyong|PRSP_CCP tali|NNC ,|PMC Donna|NNP ,|PMC ""|PMS sabi|VBS ni|DTP Marga|NNP .|PMP  
"
180,"""|PMS Bigay|NNP ito|PRO ng|CCB tatay|NNC ko|PRS .|PMP
"
181,"Maganda|JJD ito|PRO sa|CCT mahaba|JJD ,|PMC makapal|JJD at|CCA nagniningning|VBTR kong|PRS_CCP buhok|NNC ,|PMC ""|PMS pagyayabang|NNC ni|DTP Donna|NNP .|PMP  
"
182,"""|PMS Patingin|NNP ,|PMC Donna|NNP !|PMS
"
183,"Ang|DTC ganda|NNC na|CCP !|PMS
"
184,"Pero|CCT ,|PMC ano|PRQ iyan|PRO sa|CCT iyong|PRSP_CCP buhok|NNC ?|PMQ  
"
185,"""|PMS tanong|NNC ni|DTP Nena|NNP .|PMP  
"
186,"""|PMS Saan|PRQ ?|PMQ  
"
187,"""|PMS tanong|NNC ni|DTP Caloy|NNP .|PMP
"
188,"Kaniyang|RBD_CCP tiningnan|VBOF ang|DTC tinuturo|VBTR ni|DTP Nena|NNP sa|CCT buhok|NNC ni|DTP Donna|NNP .|PMP  
"
189,"""|PMS Naku|NNP !|PMS
"
190,"Kuto|NNP !|PMS  
"
191,"""|PMS sigaw|NNC ni|DTP Caloy|NNP .|PMP  
"
192,"""|PMS Yak|NNP !|PMS
"
193,"Kadiri|NNP !|PMS
"
194,"Ang|DTC dami|NNC !|PMS  
"
195,"""|PMS dagdag|JJD ni|DTP Nena|NNP .|PMP
"
196,"Dumidikit|NNP ang|DTC madaming|PRI_CCP itlog|NNC ng|CCB kuto|NNC sa|CCT bawat|PRI hibla|NNC ng|CCB buhok|NNC ni|DTP Donna|NNP .|PMP
"
197,"Nakalansan|VBTS at|CCA lumiliwag|VBTR_VBAF ang|DTC mga|DTCP ito|PRO ,|PMC tulad|JJC ng|CCB kaniyang|PRSP_CCP buhok|NNC .|PMP
"
198,"May|VBH mga|DTCP kuto|NNC na|CCP tumatakbo|VBTR_VBAF at|CCA nagtatago|VBTR sa|CCT kaniyang|PRSP_CCP makapal|JJD na|CCP buhok|NNC .|PMP
"
199,"Napayuko|VBTS siya|PRS sa|CCT kahihiyan|NNC .|PMP
"
200,"Tumakbong|NNP_CCP pauwi|NNC ang|DTC kaniyang|PRSP_CCP mga|DTCP kaibigan|NNC habang|RBW tinutukso|VBTR si|DTP Donna|NNP .|PMP
"
201,"Napansin|VBTS ni|DTP Nanay|NNP Mila|NNP na|CCP umiiyak|VBTR_VBAF si|DTP Donna|NNP .|PMP
"
202,"Kinausap|VBTS niya|PRS ito|PRO at|CCA nalaman|VBTS ang|DTC rason|NNC kung|RBK bakit|RBQ siya|PRS umiiyak|VBTR_VBAF .|PMP  
"
203,"""|PMS Nene|NNP ,|PMC sinabihan|VBTS na|CCP kita|NNC na|CCP huwag|RBF masyadong|JJCS_CCP maglaro|VBAF sa|CCT labas|NNC .|PMP
"
204,"At|CCA isa|PRI pa|RBI ,|PMC dapat|VBS palagi|RBW kang|PRS_CCP naglilinis|VBTR ng|CCB iyong|PRSP_CCP katawan|NNC bago|RBW matulog|VBW .|PMP
"
205,"Pero|CCT hindi|RBF mo|PRS naman|RBI ako|PRS sinusunod|VBTR ,|PMC ""|PMS sabi|VBS ng|CCB kaniyang|PRSP_CCP Nanay|NNP Mila|NNP .|PMP  
"
206,"""|PMS Pasensya|NNP na|CCP po|RBS ,|PMC Nanay|NNC .|PMP
"
207,"Simula|RBW sa|CCT araw|NNC na|CCP ito|PRO ,|PMC hindi|RBF na|RBI ako|PRS maglalaro|VBTF sa|CCT labas|NNC at|CCA maligo|VBW na|CCP arar|FW -|PMS araw|NNC ,|PMC lalo|JJCC na|RBI kapag|CCR nanggaling|VBTS sa|CCT labas|NNC ,|PMC ""|PMS sagot|NNC ni|DTP Donna|NNP .|PMP
"
208,"Kumuha|VBAF si|DTP Nanay|NNP Mila|NNP ng|CCB suklay|NNC at|CCA sinuklay|VBOF ang|DTC buhok|NNC ni|DTP Donna|NNP para|CCT makuha|VBW ang|DTC mga|DTCP kuto|NNC .|PMP
"
209,"Pagkatapos|VBW ,|PMC nagkuha|VBTS si|DTP Donna|NNP ng|CCB damit|NNC at|CCA tuwalya|NNC .|PMP  
"
210,"""|PMS Nanay|NNP ,|PMC maligo|VBW na|CCP ako|PRS !|PMS  
"
211,"""|PMS sabi|VBS ni|DTP Doona|NNP .|PMP  
"
212,"""|PMS Sige|NNP ,|PMC Nene|NNP .|PMP
"
213,"Iyan|VBTS_VBOF ang|DTC dapat|VBS mong|PRS_CCP gawin|VBOF ,|PMC ""|PMS sabi|VBS ni|DTP Nanay|NNP Mila|NNP .|PMP
"
214,"Kinaumagahan|NNP ,|PMC nangangamot|VBTR pa|RBI rin|RBI ng|CCB ulo|NNC si|DTP Donna|NNP .|PMP  
"
215,"""|PMS Nene|NNP ,|PMC gaputin|FW natin|PRP iyang|VBOF_CCP buhok|NNC mo.|NNCA .|PMP
"
216,"Para|CCT wala|VBN ng|CCB matirhan|NNC at|CCA hindi|RBF na|RBI dumami|VBAF ang|DTC mga|DTCP kuto|NNC ,|PMC ""|PMS sabi|VBS ni|DTP Nanay|NNP Mila|NNP .|PMP  
"
217,"""|PMS Pero|CCT ,|PMC Nanay|NNC ,|PMC sayang|JJD ang|DTC aking|PRSP_CCP buhok|NNC ,|PMC ""|PMS simangot|NNC ni|DTP Donna|NNP .|PMP  
"
218,"""|PMS Nene|NNP ,|PMC huwag|RBF kang|PRS_CCP mabahala|VBW .|PMP
"
219,"Sila|PRP ay|LM tutubo|VBTF muli|RBW .|PMP
"
220,"Ang|DTC importante|JJD ,|PMC maging|VBW malinis|JJD ka|PRS at|CCA mawala|VBW ang|DTC pangangamot|NNC mo|PRS sa|CCT iyong|PRSP_CCP ulo|NNC ,|PMC ""|PMS paliwanag|NNC ni|DTP Nanay|NNP Mila|NNP .|PMP
"
221,"Ang|DTC kaniyang|PRSP_CCP mahaba|JJD ,|PMC makapal|JJD at|CCA nagniningning|VBTR na|CCP buhok|NNC ay|LM unti|JJD -|PMS unting|FW ginuguputian|FW .|PMP
"
222,"Kasama|CCB nito|PRO ay|LM ang|DTC pagbago|NNC ng|CCB kaniyang|PRSP_CCP paguugali|NNC .|PMP
"
223,"Naging|VBTS malinis|JJD sa|CCT kaniyang|PRSP_CCP katawang|NNC_CCP .|PMP
"
224,"Naliligo|VBTS na|CCP siya|PRS gamit|VBS ang|DTC sabon|NNC at|CCA shampoo|NNC ,|PMC lalo|JJCC na|RBI kung|CCR siya|PRS ay|LM galing|RBL sa|CCT labas|JJD .|PMP
"
225,"Nagpapalitan|VBTR na|RBI din|RBI siya|PRS ng|CCB damit|NNC bago|RBW matulog|VBW .|PMP  
"
226,"""|PMS Nanay|NNP ,|PMC tingnan|VBOF mo|PRS !|PMQ
"
227,"wala|VBN na|CCP akong|PRS_CCP kuto|NNC !|PMS
"
228,"Hindi|RBF na|CCP makati|JJD ang|DTC aking|PRSP_CCP ulo|NNC !|PMS  
"
229,"""|PMS masayang|JJD_CCP sabi|VBS ni|DTP Donna|NNP .|PMP  
"
230,"""|PMS Nanay|NNP ,|PMC gusto|VBS ko|PRS sanang|VBS_CCP piumunta|JJN sa|CCT plaza|FW mamayang|RBW_CCP hapon|RBW ,|PMC ""|PMS sabi|VBS ni|DTP Donna|NNP .|PMP  
"
231,"""|PMS Huo|NNP ,|PMC Nene|NNP .|PMP
"
232,"Huwag|RBF mo|PRS lang|RBI kalimutan|VBOF ang|DTC sinabi|VBTS_VBOF kong|PRS_CCP maging|VBW malinis|JJD sa|CCT ating|PRSP_CCP katawan|NNC !|PMS  
"
233,"""|PMS paalala|NNC ni|DTP nanay|NNC Mila|NNP .|PMP
"
234,"Bumalik|VBAF si|DTP Donna|NNP sa|CCT plaza|NNC kung|RBK saan|RBQ madalas|RBD siya|PRS ay|LM naglalaro|VBTR kasama|CCB ang|DTC kaniyang|PRSP_CCP mga|DTCP kabigan|NNC .|PMP  
"
235,"""|PMS Ang|DTC ganda|NNC ng|CCB iyong|PRSP_CCP buhok|NNC ,|PMC Donna|NNP !|PMS
"
236,"Kahit|CCT na|CCP maikli|JJD ,|PMC nandiyan|VBTS pa|RBI rin|RBI ang|DTC kapal|NNC at|CCA kinang|VBOF_CCP !|PMS  
"
237,"""|PMS sabi|VBS ng|CCB kaniyang|PRSP_CCP mga|DTCP kaibigan|NNC .|PMP
"
238,"Lunes|NNP ng|CCB umaga|RBW .|PMP
"
239,"Nagkakagulo|VBTR ang|DTC mga|DTCP tao|NNC sa|CCT bakuran|NNC ni|DTP Aling|PRQ_CCP Sitang|NNC .|PMP
"
240,"Walang|VBN_CCP tigil|NNC ang|DTC pagsasalita|NNC at|CCA pagsisigaw|NNC ng|CCB mga|DTCP kabarangay|NNC na|CCP pagbuksan|VBW sila|PRP ni|DTP Aling|PRQ_CCP Sitang|NNC_CCP upang|CCB makapasok|VBW sila|PRP sa|CCT kaniyang|PRSP_CCP bakuran|NNC .|PMP
"
241,"Palaging|RBD_CCP ganito|PRC ang|DTC kaganapan|NNC bawat|PRI araw|NNC sa|CCT bakuran|NNC ni|DTP Aling|PRQ_CCP Sitang|NNC .|PMP
"
242,"Magkakapit|NNP -|PMS bahay|NNC kami|PRP nila|PRP Aling|PRQ_CCP Sitang|RBS ,|PMC dalawang|JJN_CCP bahay|NNC lamang|RBI ang|DTC pagitan|NNC ng|CCB aming|PRSP_CCP tahanan|NNC sa|CCT kaniyang|PRSP_CCP bakuran|NNC .|PMP
"
243,"Araw|NNP –|CDB araw|NNC na|CCP may|VBH mga|DTCP nakapilang|JJD_CCP tao|NNC sa|CCT harap|NNC ng|CCB kanilang|PRSP_CCP bahay|NNC ,|PMC bitbit|JJD ang|DTC kanilang|PRSP_CCP mga|DTCP bayong|NNC na|CCP gawa|VBS sa|CCT hinabing|JJD_CCP dahon|NNC ng|CCB niyog|NNC ,|PMC na|CCP siya|PRS rin|RBI ginagamit|VBTR ni|DTP nanay|NNC sa|CCT pamimili|NNC sa|CCT aming|PRSP_CCP Bayan|NNP .|PMP  
"
244,"""|PMS Aling|PRQ_CCP Sitang|NNC_CCP …|PMS Aling|PRQ_CCP Sitang|NNC_CCP .|PMP .|PMP
"
245,"kami|PRP ay|LM inyo|PRSP pong|PRO_CCP pagbuksan|NNC .|PMP .|PMP
"
246,"upang|CCB kami|PRP ay|LM makapasok|VBW sa|CCT mahiwaga|JJD mong|PRS_CCP bakuran|NNC ...|PMS ""|PMS ang|DTC sigaw|NNC ni|DTP Mang|NNP Mando|NNP sa|CCT isang|PRI_CCP mambubukid|NNC .|PMP
"
247,"Dumungaw|NNP naman|RBI si|DTP Aling|PRQ_CCP Sitang|NNC sa|CCT bintana|NNC ""|PMS Buksan|VBOF ninyo|PRP ang|DTC kawayan|NNC ng|CCB kayo|PRP ay|LM makapasok|VBW sa|CCT aking|PRSP_CCP bakuran|NNC ""|PMS ang|DTC tugon|NNC naman|RBI ni|DTP Aling|PRQ_CCP Sitang|NNC .|PMP
"
248,"Binuksan|VBTS naman|RBI ito|PRO ni|DTP Mang|NNP Mando|NNP upang|CCB sila|PRP ay|LM tuluyang|RBD_CCP pumasok|VBAF ,|PMC habang|RBW sila|PRP ay|LM naglalakad|VBTR tila|RBM may|VBH nakita|VBTS akong|PRS_CCP kakaiba|JJD sa|CCT mukha|NNC ng|CCB aking|PRSP_CCP mga|DTCP kabarangay|NNC ,|PMC hindi|RBF maipaliwanag|VBW ang|DTC kanilang|PRSP_CCP ngiti|NNC na|CCP siyang|PRS_CCP nakikita|VBTR sa|CCT kanilang|PRSP_CCP mga|DTCP labi|NNC na|CCP tila|RBM nagniningning|VBTS ng|CCB sabik|JJD at|CCA galak|JJD .|PMP
"
249,"Ako|PRS ay|LM labis|JJCS na|CCP nagtataka|VBTR sa|CCT aking|PRSP_CCP mga|DTCP nakikita|VBTR ,|PMC at|CCA bigla|JJD na|CCP lamang|RBI akong|PRS_CCP kinalabit|VBOF ni|DTP Nanay|NNP para|CCT kunin|VBOF ang|DTC aking|PRSP_CCP baon|NNC pagpasok|NNC sa|CCT eskuwela|NNC .|PMP  
"
250,"""|PMS O|NNP …|NNP Ana|NNP kunin|VBOF mo|PRS na|RBI ang|DTC baon|NNC mo|PRS sa|CCT mesa|NNC ,|PMC ito|PRO ’|PMS y|FW nakahanda|VBTS na|RBI ,|PMC tiyak|RBT ika|JJN ’|FW y|FW sisigla|VBTF dahil|CCR sa|CCT mahiwagang|JJD_CCP bakuran|NNC ni|DTP Aling|PRQ_CCP Sitang|NNC_CCP ko|PRS ito|PRO kinuha|VBOF ""|PMS ang|DTC palaging|JJD_CCP bilin|NNC ni|DTP Nanay|NNP sa|CCT akin|PRSP .|PMP
"
251,"Agad|RBW ko|PRS naman|RBI itong|PRO_CCP kinuha|VBOF at|CCA hinalikan|VBOF si|DTP nanay|NNC sa|CCT pisngi|NNC at|CCA naglakad|VBTS papasok|RBD sa|CCT eskuwela|NNC .|PMP
"
252,"Palagi|NNP ako|PRS pinagluluto|VBRF ni|DTP Nanay|NNP ng|CCB meryenda|NNC pagpasok|NNC sa|CCT eskuwela|NNC ,|PMC at|CCA sa|CCT oras|NNC na|CCP ng|CCB meryenda|NNC ako|PRS ’|PMS y|FW nagtataka|VBTR ano|PRQ ang|DTC mayroon|VBH sa|CCT bakuran|NNC ni|DTP Aling|PRQ_CCP Sitang|NNC_CCP at|CCA palagi|RBW nila|PRP itong|PRO_CCP tinatawag|VBTR na|CCP mahiwaga|JJD .|PMP
"
253,"Pag|CCR -|PMS uwi|VBS ko|PRS galing|RBL sa|CCT eskuwela|NNC ,|PMC nadadaanan|VBTR ko|PRS ang|DTC bahay|NNC nila|PRP Aling|PRQ_CCP Sitang|NNC_CCP at|CCA palagi|RBW sa|CCT oras|NNC na|CCP iyon|PRO nakikita|VBTR kong|PRS_CCP nakasara|VBTS na|CCP ang|DTC bakuran|NNC ni|DTP Aling|PRQ_CCP Sitang|NNC ,|PMC kaya|CCR hindi|RBF ko|PRS man|RBI lang|RBI masulyapan|VBW kung|RBK anong|RBQ_CCP hiwaga|JJD ang|DTC nakatago|VBTS sa|CCT kaniyang|PRSP_CCP bakuran|NNC .|PMP
"
254,"Habang|RBW ako|PRS ’|PMS y|FW nagsusulat|VBTR ng|CCB aking|PRSP_CCP takdang|JJD_CCP aralin|VBOF sa|CCT aming|PRSP_CCP balkonahe|NNC ,|PMC nakita|VBTS ko|PRS si|DTP Aling|PRQ_CCP Sitang|NNC ,|PMC padaan|NNC sa|CCT aming|PRSP_CCP bakuran|NNC ,|PMC ""|PMS Magandang|JJD_CCP hapon|RBW po|RBS Aling|PRQ_CCP Sitang|NNC_CCP ""|PMS ang|DTC aking|PRSP_CCP bati|NNC .|PMP  
"
255,"""|PMS O.|NNPA .|PMP
"
256,"Ana|NNP magandang|JJD_CCP hapon|NNC din|RBI anak|NNC ,|PMC magaling|JJD at|CCA masipag|JJD na|CCP bata|NNC ,|PMC palaging|RBD_CCP nagbabasa|VBTR at|CCA gumagawa|VBTR_VBAF ng|CCB kaniyang|PRSP_CCP takdang|JJD_CCP –|PMS aralin|VBOF ""|PMS ang|DTC tugon|NNC ni|DTP Aling|PRQ_CCP Sitang|NNC .|PMP
"
257,"Lumabas|VBAF ako|PRS sa|CCT aming|PRSP_CCP bakuran|NNC at|CCA nilapitan|VBTS sa|CCT Aling|PRQ_CCP Sitang|NNC ,|PMC nakita|VBTS ko|PRS na|CCP hawak|JJD niya|PRS ang|DTC isang|PRI_CCP timbang|NNC punong|JJD_CCP -|PMS puno|NNC ng|CCB itim|JJD na|CCP lupa|NNC .|PMP  
"
258,"""|PMS Aling|PRQ_CCP Sitang|NNC_CCP ano|PRQ po|RBS ang|DTC inyong|PRSP_CCP hawak|NNC ?|PMQ  
"
259,"""|PMS tanong|NNC ko|PRS ,|PMC ""|PMS A.|NNPA .|PMP
"
260,"eto|FW ba|FW anak|NNC ?|PMQ
"
261,"ito|PRO ay|LM lupa|NNC na|CCP mula|RBL sa|CCT mga|DTCP tuyong|JJD_CCP dahon|NNC at|CCA balat|NNC ng|CCB mga|DTCP prutas|NNC o|CCT mas|JJCC kilala|JJD sa|CCT tawag|NNC na|CCP ganagan|NNC (|PMS Iluko|NNC )|PMS o|CCT fertilizer|FW (|PMS Ingles|NNP )|PMS ng|CCB mga|DTCP mambubukid|NNC ,|PMC isa|PRI itong|PRO_CCP pampasustansiya|NNC sa|CCT aking|PRSP_CCP bakuran|NNC ""|PMS ang|DTC sagot|NNC niya|PRS .|PMP  
"
262,"""|PMS Aling|PRQ_CCP Sitang|NNC_CCP ano|PRQ po|RBS ba|RBI ang|DTC hiwagang|NNC_CCP nakatago|VBTS sa|CCT inyong|PRSP_CCP bakuran|NNC ,|PMC at|CCA bawat|PRI araw|NNC maingay|JJD ang|DTC ating|PRSP_CCP mga|DTCP kabarangay|NNC sa|CCT harap|NNC ng|CCB iyong|PRSP_CCP bakuran|NNC tuwing|RBW umaga|RBW ?|PMQ  
"
263,"""|PMS tanong|NNC ulit|RBW ni|DTP Ana|NNP .|PMP  
"
264,"""|PMS Gusto|VBS mo|PRS makita|VBW ,|PMC anak|NNC …|PMS halika|NNC at|CCA ipapasyal|JJD kita|NNC ""|PMS sabi|VBS ni|DTP Aling|PRQ_CCP Sitang|NNC .|PMP
"
265,"Habang|RBW kami|PRP ay|LM naglalakad|VBTR patungo|RBL sa|CCT bakuran|NNC ni|DTP Aling|PRQ_CCP Sitang|RBS ,|PMC ako|PRS ’|PMS y|FW nananabik|VBTR na|CCP makita|VBW ang|DTC mahiwagang|JJD_CCP bakuran|NNC na|CCP sinasabi|VBTR ng|CCB mga|DTCP tao|NNC sa|CCT aming|PRSP_CCP barangay|NNC .|PMP
"
266,"Sa|CCT aming|PRSP_CCP pagpasok|NNC tila|RBM nanlamig|VBTS ang|DTC aking|PRSP_CCP pakiramdam|NNC na|CCP sinabayan|VBOF pa|RBI ng|CCB isang|PRI_CCP malamig|JJD na|CCP ihip|NNC ng|CCB hangin|NNC .|PMP
"
267,"Nakita|VBTS ko|PRS ang|DTC isang|PRI_CCP luntiang|JJD_CCP hardin|NNC ni|DTP Aling|PRQ_CCP Sitang|NNC na|CCP may|VBH iba|PRI ’|PMS t|NNCA ibang|PRI_CCP kulay|NNC at|CCA anyo|NNC ng|CCB mga|DTCP prutas|NNC at|CCA gulay|NNC .|PMP
"
268,"Totoong|RBT_CCP mahiwaga|JJD ang|DTC bakurang|NNC_CCP ito|PRO ,|PMC dahil|CCR matataba|VBTF ang|DTC mga|DTCP pananim|NNC dito|PRL ,|PMC ang|DTC kaniyang|PRSP_CCP lumalambiting|VBTR_VBAF_CCP mahahaba|JJD at|CCA matatabang|JJD_CCP ampalaya|NNC na|CCP nakapulupot|VBTS sa|CCT isang|PRI_CCP sanga|NNC ng|CCB kawayan|NNC ,|PMC ang|DTC nagkukulay|VBTS dalandan|NNC na|CCP hinog|NNC na|CCP papaya|NNC ,|PMC berdeng|JJD_CCP -|PMS berdeng|JJD_CCP sili|NNC ,|PMC petchay|NNC at|CCA mga|DTCP sitaw|NNC na|CCP kasinghaba|JJCC ng|CCB isang|PRI_CCP latigo|NNC .|PMP
"
269,"Mabibilog|NNP at|CCA malulusog|JJD na|CCP pakwan|NNC ,|PMC kalabasa|NNC at|CCA rambutan|NNC at|CCA marami|PRI pang|RBI_CCP iba|PRI ’|PMS t|NNCA ibang|PRI_CCP uri|NNC ng|CCB gulay|NNC at|CCA prutas|NNC na|CCP parang|CCT lahat|PRI nito|PRO ay|LM matatagpuan|VBTF sa|CCT awiting|NNC_CCP bahay|NNC -|PMS kubo|NNC .|PMP
"
270,"Nasaksihan|VBTS ng|CCB aking|PRSP_CCP dalawang|JJN_CCP mata|NNC ang|DTC tunay|JJD na|CCP hiwaga|NNC ng|CCB bakuran|NNC ni|DTP Aling|PRQ_CCP Sitang|RBS ,|PMC talaga|RBT namang|RBI_CCP matatawag|VBTF itong|PRO_CCP mahiwaga|JJD dahil|CCR dala|JJD nito|PRO ’|PMS y|FW karangalan|NNC sa|CCT aming|PRSP_CCP munting|JJD_CCP barangay|NNC .|PMP
"
271,"Sa|CCT susunod|JJD na|CCP linggo|NNC ,|PMC bibigyan|VBTF ng|CCB parangal|NNC ang|DTC aming|PRSP_CCP munting|JJD_CCP barangay|NNC dahil|CCR sa|CCT mahiwagang|JJD_CCP bakuran|NNC ni|DTP Aling|PRQ_CCP Sitang|NNC na|CCP modelo|NNC ng|CCB masustansiyang|JJD_CCP bayan|NNC sa|CCT aming|PRSP_CCP lalawigan|NNC .|PMP
"
272,"""|PMS Kokoy|NNC ,|PMC kung|CCR hindi|RBF ka|PRS iidlip|VBTF ,|PMC kukunin|VBTF_VBOF ka|PRS ni|DTP Kurakog|NNP ,|PMC ang|DTC higante|RBD na|CCP nakatira|VBTS sa|CCT Bundok|NNP Isarog|NNP .|PMP  
"
273,"""|PMS Iyan|VBTS_VBOF ang|DTC sinasabi|VBTR ng|CCB matatanda|NNC para|CCT matakot|VBW ako|PRS .|PMP
"
274,"Malaking|JJD_CCP nilalang|NNC si|DTP Kurakog|NNP .|PMP
"
275,"Kaya|CCR ka|PRS niyang|PRS_CCP durugin|VBOF na|CCP parang|CCT insekto|NNC .|PMP
"
276,"Yumuyugyog|NNP ang|DTC mga|DTCP puno|NNC ng|CCB niyog|NNC kapag|CCR siya|PRS ay|LM naglalakad|VBTR .|PMP
"
277,"Nakakabingi|VBTR ang|DTC boses|NNC niya|PRS .|PMP
"
278,"Kapag|CCR siya|PRS ay|LM umiiyak|VBTR_VBAF ,|PMC ang|DTC kanyang|PRSP_CCP mga|DTCP luha|NNC ay|LM maaaring|RBM punan|VBOF ang|DTC ilog|NNC ng|CCB tubig|NNC .|PMP
"
279,"Ang|DTC kanyang|PRSP_CCP hininga|NNC ay|LM kayang|RBD_CCP pagalawin|VBOF ang|DTC Bundok|NNP Isarog|NNP at|CCA Bulkang|NNP_CCP Mayon|NNP .|PMP
"
280,"Si|DTP Kurakog|NNP ay|LM isang|PRI_CCP nakakatakot|RBD na|CCP nilalang|NNC .|PMP
"
281,"Kukunin|NNP ako|PRS ni|DTP Kurakog|NNP .|PMP
"
282,"Iyan|NNP ang|DTC sasabihin|VBTF sa|CCT akin|PRSP ng|CCB mga|DTCP matatanda|NNC kung|RBK hindi|RBF ako|PRS umidlip|VBTR sa|CCT hapon|RBW .|PMP
"
283,"Ngunit|CCT nagbago|VBTS ang|DTC kwento|NNC nila|PRP nang|RBW niligtas|VBTS ni|DTP Kurakog|NNP ang|DTC Kamaligan|NNP ,|PMC ang|DTC aming|PRSP_CCP nayon|NNC .|PMP
"
284,"Ang|DTC dating|JJD_CCP kinakatakutan|VBTR na|CCP higante|RBD ay|LM naging|VBTS kaibigan|NNC .|PMP
"
285,"Napakalaki|JJCS_JJD ng|CCB buwan|NNC nang|RBW gabing|RBW_CCP iyon|PRO .|PMP
"
286,"Napakaliwanag|VBTS nito|PRO na|CCP parang|CCT Araw|NNP sa|CCT umaga|RBW .|PMP
"
287,"Napakalapit|VBTS din|RBI nito|PRO na|CCP parang|CCT nasa|RBL tuktok|NNC ng|CCB Bundok|NNP Isarog|NNP .|PMP
"
288,"Namangha|VBTS ang|DTC mga|DTCP taong|NNC_CCP bayan|NNC ng|CCB Kamaligan|NNP .|PMP
"
289,"Nagdiwang|VBTS ang|DTC mga|DTCP tao|NNC .|PMP  
"
290,"""|PMS Ang|DTC buwan|NNC !|PMS
"
291,"Ang|DTC buwan|NNC !|PMS
"
292,"Hindi|RBF na|CCP muling|RBW_CCP magdidilim|VBTF !|PMS  
"
293,"""|PMS Nagtipon|VBTS ang|DTC lahat|PRI at|CCA nagbigay|VBTS pasasalamat|RBS .|PMP
"
294,"Nag|NNP -|PMS alay|NNC sila|PRP ng|CCB mga|DTCP prutas|NNC at|CCA mga|DTCP gulay|NNC .|PMP
"
295,"Nagsayaw|VBTS sila|PRP hanggang|RBW hatinggabi|RBW at|CCA kumanta|VBAF .|PMP
"
296,"May|VBH tumugtog|VBAF ng|CCB gitara|NNC .|PMP
"
297,"May|VBH pumalo|VBAF ng|CCB tambol|NNC .|PMP
"
298,"May|VBH sumipol|VBAF .|PMP
"
299,"Kinabukasan|RBW ,|PMC hindi|RBF lumitaw|VBAF ang|DTC Araw|NNP .|PMP
"
300,"Lumipas|VBAF ang|DTC gabi|NNC ,|PMC at|CCA nanatili|VBTS ang|DTC Buwan|NNP .|PMP
"
301,"Muling|RBW_CCP natulog|VBTS ang|DTC mga|DTCP taga|JJD -|PMS Kamaligan|NNP at|CCA naghintay|VBTS ng|CCB umaga|RBW .|PMP
"
302,"Ngunit|CCT kinabukasan|RBW ,|PMC hindi|RBF muling|RBW_CCP nagpakita|VBTS ang|DTC Araw|NNP .|PMP
"
303,"Pagkatapos|VBW ay|LM nagsimulang|RBD_CCP matuyo|VBW ang|DTC mga|DTCP halaman|NNC .|PMP
"
304,"Hindi|RBF na|CCP namumunga|VBTR ang|DTC mga|DTCP pananim|NNC ng|CCB mga|DTCP magsasaka|NNC .|PMP
"
305,"Naging|VBTS malungkot|JJD ang|DTC mga|DTCP pananim|NNC na|CCP gulay|NNC at|CCA prutas|NNC .|PMP
"
306,"Nagsimulang|VBTS_CCP umapaw|VBAF ang|DTC ilog|NNC .|PMP
"
307,"Lagi|RBW na|CCP ngayong|RBW_CCP binabaha|VBTR ang|DTC nayon|NNC ng|CCB Kamaligan|NNP .|PMP
"
308,"Sama|NNP -|PMS samang|NNC_CCP nagmakaawa|VBTS ang|DTC sambayanan|NNC sa|CCT buwan|NNC .|PMP
"
309,"Na|CCP ito|PRO ’|PMS y|FW magpahinga|VBW muna|RBI nang|RBW masilayan|VBW muna|RBI nila|PRP ang|DTC araw|NNC .|PMP
"
310,"Muli|RBW silang|PRP_CCP nag|NNCA -|PMS alay|NNC ng|CCB mga|DTCP prutas|NNC at|CCA gulay|NNC ngunit|CCT ito|PRO ’|PMS y|FW lanta|FW na|CCP .|PMP
"
311,"Nagmakaawa|VBTS ang|DTC sambayanan|NNC ""|PMS O|NNPA aming|PRSP_CCP buwan|NNC napakaganda|JJCS_JJD mong|PRS_CCP tunay|RBT ngunit|CCT kailangan|VBS rin|RBI namin|PRP ang|DTC sinag|NNC ng|CCB araw|NNC !|PMS  
"
312,"""|PMS Subalit|CCT ayaw|RBF pa|RBI rin|RBI magpahinga|VBW ng|CCB Buwan|NNP .|PMP
"
313,"Maligaya|JJD lang|RBI itong|PRO_CCP nakatitig|VBTS sa|CCT kalangitan|NNC .|PMP
"
314,"Nagpasya|VBTS ang|DTC matatanda|NNC na|CCP humingi|VBAF ng|CCB tulong|NNC kay|DTP Kurakog|NNP .|PMP
"
315,"Nakiusap|VBTS silang|PRP_CCP harangan|VBOF ang|DTC Buwan|NNP at|CCA imbitahang|RBD_CCP bumalik|VBAF ang|DTC Araw|NNP .|PMP  
"
316,"""|PMS Kurakog|NNP !|PMS
"
317,"Kurakog|NNP !|PMS
"
318,"Tulungan|VBOF mo|PRS kami|PRP ,|PMC ""|PMS pakiusap|NNC ng|CCB matanda|JJD .|PMP  
"
319,"""|PMS Ano|PRQ ang|DTC maitutulong|JJD_CCP ko|PRS ?|PMQ  
"
320,"""|PMS sagot|NNC ni|DTP Kurakog|NNP .|PMP  
"
321,"""|PMS Lagi|RBW namang|RBI_CCP gabi|RBW ,|PMC hindi|RBF na|RBI tumutubo|VBTR_VBAF ang|DTC mga|DTCP pananim|NNC .|PMP
"
